clusterer,condition,reducer,reduction_level,mean_ari,baseline_ari,n_units,n_nonzero,wins,ties,losses,mean_delta_ari,median_delta_ari,rank_biserial,statistic,p_raw,p_holm_60,p_holm_15
GMM,MDS__50_percent,MDS,50_percent,0.23368195442671361,0.27929892976167542,20,20,9,0,11,-0.045616975334961798,-0.0042003372232686711,-0.076190476190476197,97,0.62191677093505859,1,1
OPTICS,PCA__k_minus_1,PCA,k_minus_1,0.20350815201649902,0.096953015377831825,20,16,11,4,5,0.10655513663866718,0.010274505931651899,0.48529411764705882,145,0.04562697391424389,1,0.33991031659335413
OPTICS,PCA__25_percent,PCA,25_percent,0.19274809682132724,0.096953015377831825,20,13,8,7,5,0.095795081443495411,0,0.34065934065934067,117,0.15981300861530395,1,0.79456700965320337
OPTICS,PCA__50_percent,PCA,50_percent,0.19382932617954154,0.096953015377831825,20,10,7,10,3,0.096876310801709706,0,0.59999999999999998,114,0.071542370131772254,1,0.42925422079063352
OPTICS,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.24969537310299877,0.096953015377831825,20,18,15,2,3,0.15274235772516692,0.055024176581186079,0.69590643274853803,175,0.0037743703823128662,0.22268785255645912,0.056615555734692992
OPTICS,KernelPCA__25_percent,KernelPCA,25_percent,0.20402443295880235,0.096953015377831825,20,17,14,3,3,0.10707141758097057,0.032427190414754586,0.69934640522875813,172,0.0044005618826423905,0.25083202731061627,0.061607866356993467
OPTICS,KernelPCA__50_percent,KernelPCA,50_percent,0.2011284154394973,0.096953015377831825,20,15,11,5,4,0.10417540006166548,0.0056378053747470486,0.6166666666666667,152,0.019967972295282528,0.97843064246884393,0.17971175065754275
OPTICS,VAE__k_minus_1,VAE,k_minus_1,0.23971091326878979,0.096953015377831825,20,18,14,2,4,0.14275789789095797,0.051146828751726062,0.66081871345029242,170,0.0064814316844034924,0.35647874264219209,0.0842586118972454
OPTICS,VAE__25_percent,VAE,25_percent,0.19031647688387174,0.096953015377831825,20,17,14,3,3,0.093363461506039955,0.0093268093398428484,0.56862745098039214,162,0.012369835647664232,0.66797112497386857,0.14843802777197079
OPTICS,VAE__50_percent,VAE,50_percent,0.18342576254415974,0.096953015377831825,20,16,9,4,7,0.08647274716632794,0,0.22058823529411764,119,0.23790515227971654,1,0.79456700965320337
OPTICS,Isomap__k_minus_1,Isomap,k_minus_1,0.21794979091531883,0.096953015377831825,20,17,12,3,5,0.12099677553748703,0.024238050470280548,0.60784313725490191,159,0.016455334688464249,0.83376126933808992,0.17637808243473599
OPTICS,Isomap__25_percent,Isomap,25_percent,0.16138409265499151,0.096953015377831825,20,15,9,5,6,0.06443107727715966,0,0.31666666666666665,124,0.15891340193064069,1,0.79456700965320337
OPTICS,Isomap__50_percent,Isomap,50_percent,0.1923507564736931,0.096953015377831825,20,14,11,6,3,0.095397741095861271,0.024238050470280548,0.61904761904761907,151,0.016034371130430543,0.83376126933808992,0.17637808243473599
OPTICS,MDS__k_minus_1,MDS,k_minus_1,0.19147948202372406,0.096953015377831825,20,14,7,6,7,0.094526466645892232,0,0.35238095238095241,113,0.24137973119678635,1,0.79456700965320337
OPTICS,MDS__25_percent,MDS,25_percent,0.20303029029072706,0.096953015377831825,20,13,9,7,4,0.10607727491289524,0,0.60439560439560436,136,0.042488789574169267,1,0.33991031659335413
OPTICS,MDS__50_percent,MDS,50_percent,0.12511559556944582,0.096953015377831825,20,8,5,12,3,0.028162580191614016,0,0.55555555555555558,88,0.17519115477608249,1,0.79456700965320337
