dataset_id,display_name,scope,family,n_clusters,n_features,n_samples,clusterer,reducer,reduction_level,ari,seeds,condition,baseline,delta_ari
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,Isomap,25_percent,0.0048283446965910002,10,Isomap__25_percent,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,Isomap,50_percent,0.0048283446965910002,10,Isomap__50_percent,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,Isomap,k_minus_1,0.0048283446965910002,10,Isomap__k_minus_1,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,KernelPCA,25_percent,0.67216381195173702,10,KernelPCA__25_percent,0.0048283446965910002,0.66733546725514603
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,KernelPCA,50_percent,0.66027869112299498,10,KernelPCA__50_percent,0.0048283446965910002,0.65545034642640398
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,KernelPCA,k_minus_1,0.71288550452376098,10,KernelPCA__k_minus_1,0.0048283446965910002,0.70805715982716999
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,MDS,25_percent,0.0048283446965910002,10,MDS__25_percent,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,MDS,50_percent,0.0048283446965910002,10,MDS__50_percent,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,MDS,k_minus_1,0.0048283446965910002,10,MDS__k_minus_1,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,None,original,0.0048283446965910002,10,None__original,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,PCA,25_percent,0.0048283446965910002,10,PCA__25_percent,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,PCA,50_percent,0.0048283446965910002,10,PCA__50_percent,0.0048283446965910002,0
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,PCA,k_minus_1,0.0024029438603790001,10,PCA__k_minus_1,0.0048283446965910002,-0.0024254008362120001
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,VAE,25_percent,0.0004496326278005,10,VAE__25_percent,0.0048283446965910002,-0.0043787120687905001
breast_wisconsin,Breast Wisconsin,real,real,2,30,569,AHC,VAE,50_percent,0.00030123236554899002,10,VAE__50_percent,0.0048283446965910002,-0.0045271123310420104
